"Id","Label"
"QYBURN","Qyburn"
"RADZAI_MO_ERAZ","Radzai"
"ROSLIN","Roslin"
"RYLENE","Rylene"
"SELWYN","Selwyn"
"SELYSE","Selyse"
"SHIREEN","Shireen"
"SORCERER","Sorcerer"
"STEELSHANKS_WALTON","Steelshanks Walton"
"TARYN_MANT","Taryn"
"THOROS","Thoros"
"TORMUND","Tormund"
"TORTURER","Torturer"
"VIOLET","Violet"
"WILLEM_LANNISTER","Willem"
