"Alter1_ID","Alter2_ID","Weight","Ego_ID"
"JORY_CASSEL","ROBERT",4,"ARYA"
"LITTLEFINGER","ROBERT",14,"ARYA"
"MOUNTAIN","ROBERT",4,"ARYA"
"NED","ROBERT",199,"ARYA"
"PYCELLE","ROBERT",14,"ARYA"
"ROBB","ROBERT",5,"ARYA"
"CATELYN","ROOSE_BOLTON",17,"ARYA"
"HOUND","ROOSE_BOLTON",2,"ARYA"
"JAIME","ROOSE_BOLTON",29,"ARYA"
"NED","ROOSE_BOLTON",2,"ARYA"
"ROBB","ROOSE_BOLTON",51,"ARYA"
"BAELOR","SANSA",2,"ARYA"
"BRAN","SANSA",2,"ARYA"
"CATELYN","SANSA",20,"ARYA"
"CERSEI","SANSA",116,"ARYA"
"HOUND","SANSA",59,"ARYA"
"ILYN_PAYNE","SANSA",8,"ARYA"
"JAIME","SANSA",2,"ARYA"
"JOFFREY","SANSA",147,"ARYA"
"LITTLEFINGER","SANSA",67,"ARYA"
"MERYN_TRANT","SANSA",20,"ARYA"
"MOUNTAIN","SANSA",4,"ARYA"
"MYCAH","SANSA",4,"ARYA"
"NED","SANSA",57,"ARYA"
"PYCELLE","SANSA",15,"ARYA"
"ROBB","SANSA",19,"ARYA"
"ROBERT","SANSA",17,"ARYA"
"JOFFREY","SEPTA_MORDANE",5,"ARYA"
"LITTLEFINGER","SEPTA_MORDANE",4,"ARYA"
"NED","SEPTA_MORDANE",9,"ARYA"
"SANSA","SEPTA_MORDANE",64,"ARYA"
"MERYN_TRANT","SYRIO_FOREL",11,"ARYA"
"NED","SYRIO_FOREL",6,"ARYA"
"BRAN","TYRION",15,"ARYA"
"CATELYN","TYRION",49,"ARYA"
"CERSEI","TYRION",290,"ARYA"
"HOUND","TYRION",39,"ARYA"
"JAIME","TYRION",50,"ARYA"
"JOFFREY","TYRION",121,"ARYA"
"JON","TYRION",45,"ARYA"
"KEVAN","TYRION",14,"ARYA"
"LITTLEFINGER","TYRION",67,"ARYA"
"MERYN_TRANT","TYRION",23,"ARYA"
"NED","TYRION",23,"ARYA"
"PYCELLE","TYRION",58,"ARYA"
"ROBB","TYRION",19,"ARYA"
"ROBERT","TYRION",10,"ARYA"
"SANSA","TYRION",110,"ARYA"
"CATELYN","TYWIN",6,"ARYA"
"CERSEI","TYWIN",75,"ARYA"
"GENDRY","TYWIN",6,"ARYA"
"JAIME","TYWIN",53,"ARYA"
"JOFFREY","TYWIN",61,"ARYA"
"KEVAN","TYWIN",21,"ARYA"
"LITTLEFINGER","TYWIN",36,"ARYA"
"MOUNTAIN","TYWIN",14,"ARYA"
"NED","TYWIN",13,"ARYA"
"PYCELLE","TYWIN",12,"ARYA"
"ROBB","TYWIN",22,"ARYA"
"ROBERT","TYWIN",10,"ARYA"
"ROOSE_BOLTON","TYWIN",9,"ARYA"
"SANSA","TYWIN",14,"ARYA"
"TYRION","TYWIN",187,"ARYA"
"CATELYN","VARYS",11,"ARYA"
"CERSEI","VARYS",29,"ARYA"
"GENDRY","VARYS",2,"ARYA"
"ILLYRIO","VARYS",9,"ARYA"
"ILYN_PAYNE","VARYS",2,"ARYA"
"JOFFREY","VARYS",26,"ARYA"
"LITTLEFINGER","VARYS",98,"ARYA"
"NED","VARYS",102,"ARYA"
"PYCELLE","VARYS",27,"ARYA"
"ROBB","VARYS",4,"ARYA"
"ROBERT","VARYS",11,"ARYA"
"SANSA","VARYS",15,"ARYA"
"TYRION","VARYS",129,"ARYA"
"TYWIN","VARYS",15,"ARYA"
"BAELOR","YOREN",4,"ARYA"
"CATELYN","YOREN",3,"ARYA"
"CERSEI","YOREN",2,"ARYA"
"GENDRY","YOREN",9,"ARYA"
"HOUND","YOREN",2,"ARYA"
"ILYN_PAYNE","YOREN",4,"ARYA"
"JOFFREY","YOREN",3,"ARYA"
"LITTLEFINGER","YOREN",2,"ARYA"
"NED","YOREN",15,"ARYA"
"PYCELLE","YOREN",2,"ARYA"
"SANSA","YOREN",4,"ARYA"
"TYRION","YOREN",22,"ARYA"
"VARYS","YOREN",3,"ARYA"
"HOT_PIE","AMORY",2,"ARYA"
"TYWIN","AMORY",14,"ARYA"
"YOREN","AMORY",8,"ARYA"
"YOREN","BITER",2,"ARYA"
"GENDRY","JAQEN",4,"ARYA"
"HOT_PIE","JAQEN",3,"ARYA"
"TYWIN","JAQEN",3,"ARYA"
"YOREN","JAQEN",2,"ARYA"
"AMORY","JAQEN",3,"ARYA"
"BITER","JAQEN",5,"ARYA"
"GENDRY","LOMMY",4,"ARYA"
"HOT_PIE","LOMMY",10,"ARYA"
"BERIC","MELISANDRE",6,"ARYA"
"CATELYN","MELISANDRE",2,"ARYA"
"GENDRY","MELISANDRE",46,"ARYA"
"ROBERT","MELISANDRE",4,"ARYA"
"HOT_PIE","POLLIVER",2,"ARYA"
"MOUNTAIN","POLLIVER",3,"ARYA"
"TYWIN","POLLIVER",2,"ARYA"
"AMORY","POLLIVER",3,"ARYA"
"LOMMY","POLLIVER",6,"ARYA"
"TYWIN","REGINALD",8,"ARYA"
"GENDRY","RORGE",3,"ARYA"
"YOREN","RORGE",3,"ARYA"
"BITER","RORGE",8,"ARYA"
"JAQEN","RORGE",9,"ARYA"
"GENDRY","TICKLER",6,"ARYA"
"HOT_PIE","TICKLER",2,"ARYA"
"RHAENYS","VISENYA",2,"ARYA"
"BERIC","ANGUY",11,"ARYA"
"GENDRY","ANGUY",11,"ARYA"
"HOT_PIE","ANGUY",2,"ARYA"
"HOUND","ANGUY",20,"ARYA"
"MELISANDRE","ANGUY",3,"ARYA"
"BERIC","THOROS",28,"ARYA"
"GENDRY","THOROS",20,"ARYA"
"HOT_PIE","THOROS",6,"ARYA"
"HOUND","THOROS",17,"ARYA"
"MOUNTAIN","THOROS",2,"ARYA"
"NED","THOROS",2,"ARYA"
"ROBERT","THOROS",3,"ARYA"
"MELISANDRE","THOROS",14,"ARYA"
"ANGUY","THOROS",20,"ARYA"
"AERYS","JAIME",9,"BARRISTAN"
"CERSEI","JAIME",69,"BARRISTAN"
"AERYS","JOFFREY",2,"BARRISTAN"
"CERSEI","JOFFREY",158,"BARRISTAN"
"JAIME","JOFFREY",13,"BARRISTAN"
"AERYS","JORAH",2,"BARRISTAN"
"DAENERYS","JORAH",342,"BARRISTAN"
"CERSEI","LANCEL",27,"BARRISTAN"
"JOFFREY","LANCEL",12,"BARRISTAN"
"CERSEI","LITTLEFINGER",51,"BARRISTAN"
"JAIME","LITTLEFINGER",7,"BARRISTAN"
"JOFFREY","LITTLEFINGER",19,"BARRISTAN"
"AERYS","NED",10,"BARRISTAN"
"CERSEI","NED",92,"BARRISTAN"
"DAENERYS","NED",3,"BARRISTAN"
"JAIME","NED",60,"BARRISTAN"
"JOFFREY","NED",47,"BARRISTAN"
"JORAH","NED",2,"BARRISTAN"
"LANCEL","NED",4,"BARRISTAN"
"LITTLEFINGER","NED",107,"BARRISTAN"
"AERYS","PYCELLE",2,"BARRISTAN"
"CERSEI","PYCELLE",33,"BARRISTAN"
"JAIME","PYCELLE",2,"BARRISTAN"
"JOFFREY","PYCELLE",21,"BARRISTAN"
"LITTLEFINGER","PYCELLE",27,"BARRISTAN"
"NED","PYCELLE",68,"BARRISTAN"
"AERYS","RENLY",2,"BARRISTAN"
"CERSEI","RENLY",3,"BARRISTAN"
"JAIME","RENLY",6,"BARRISTAN"
"JOFFREY","RENLY",8,"BARRISTAN"
"LANCEL","RENLY",2,"BARRISTAN"
"LITTLEFINGER","RENLY",37,"BARRISTAN"
"NED","RENLY",30,"BARRISTAN"
"PYCELLE","RENLY",8,"BARRISTAN"
"AERYS","ROBERT",12,"BARRISTAN"
"CERSEI","ROBERT",86,"BARRISTAN"
"DAENERYS","ROBERT",7,"BARRISTAN"
"JAIME","ROBERT",23,"BARRISTAN"
"JOFFREY","ROBERT",33,"BARRISTAN"
"JORAH","ROBERT",5,"BARRISTAN"
"LANCEL","ROBERT",15,"BARRISTAN"
"LITTLEFINGER","ROBERT",14,"BARRISTAN"
"NED","ROBERT",199,"BARRISTAN"
"PYCELLE","ROBERT",14,"BARRISTAN"
"RENLY","ROBERT",35,"BARRISTAN"
"CERSEI","VARYS",29,"BARRISTAN"
"DAENERYS","VARYS",4,"BARRISTAN"
"JOFFREY","VARYS",26,"BARRISTAN"
"JORAH","VARYS",2,"BARRISTAN"
"LITTLEFINGER","VARYS",98,"BARRISTAN"
"NED","VARYS",102,"BARRISTAN"
"PYCELLE","VARYS",27,"BARRISTAN"
"RENLY","VARYS",9,"BARRISTAN"
"ROBERT","VARYS",11,"BARRISTAN"
"DAENERYS","DAARIO",36,"BARRISTAN"
"JORAH","DAARIO",17,"BARRISTAN"
"DAENERYS","GREY_WORM",12,"BARRISTAN"
"JORAH","GREY_WORM",12,"BARRISTAN"
"DAARIO","GREY_WORM",6,"BARRISTAN"
"DAENERYS","KRAZNYS_MO_NAKLOZ",23,"BARRISTAN"
"JORAH","KRAZNYS_MO_NAKLOZ",5,"BARRISTAN"
"DAENERYS","MISSANDEI",67,"BARRISTAN"
"JORAH","MISSANDEI",13,"BARRISTAN"
"DAARIO","MISSANDEI",7,"BARRISTAN"
"GREY_WORM","MISSANDEI",2,"BARRISTAN"
"KRAZNYS_MO_NAKLOZ","MISSANDEI",52,"BARRISTAN"
"DAENERYS","RADZAI_MO_ERAZ",19,"BARRISTAN"
"MISSANDEI","RADZAI_MO_ERAZ",3,"BARRISTAN"
"CATELYN","CERSEI",22,"BENJEN"
"CERSEI","JEOR",2,"BENJEN"
"CATELYN","JON",16,"BENJEN"
"CERSEI","JON",3,"BENJEN"
"JEOR","JON",99,"BENJEN"
"CATELYN","NED",77,"BENJEN"
"CERSEI","NED",92,"BENJEN"
"JEOR","NED",3,"BENJEN"
"JON","NED",36,"BENJEN"
"CATELYN","ROBB",224,"BENJEN"
"CERSEI","ROBB",12,"BENJEN"
"JON","ROBB",25,"BENJEN"
"NED","ROBB",38,"BENJEN"
"CATELYN","ROBERT",15,"BENJEN"
"CERSEI","ROBERT",86,"BENJEN"
"JEOR","ROBERT",3,"BENJEN"
"JON","ROBERT",3,"BENJEN"
"NED","ROBERT",199,"BENJEN"
"ROBB","ROBERT",5,"BENJEN"
"CATELYN","TYRION",49,"BENJEN"
"CERSEI","TYRION",290,"BENJEN"
"JEOR","TYRION",17,"BENJEN"
"JON","TYRION",45,"BENJEN"
"NED","TYRION",23,"BENJEN"
"ROBB","TYRION",19,"BENJEN"
"ROBERT","TYRION",10,"BENJEN"
"CATELYN","YOREN",3,"BENJEN"
"CERSEI","YOREN",2,"BENJEN"
"NED","YOREN",15,"BENJEN"
"TYRION","YOREN",22,"BENJEN"
"JEOR","CRASTER",46,"BENJEN"
"JON","CRASTER",19,"BENJEN"
"ARYA","CATELYN",14,"BRAN"
"BRANDON_STARK","CATELYN",5,"BRAN"
"ARYA","CERSEI",20,"BRAN"
"CATELYN","CERSEI",22,"BRAN"
"ARYA","HOUND",89,"BRAN"
"CATELYN","HOUND",4,"BRAN"
"CERSEI","HOUND",12,"BRAN"
"ARYA","JAIME",3,"BRAN"
"CATELYN","JAIME",61,"BRAN"
"CERSEI","JAIME",69,"BRAN"
"HOUND","JAIME",2,"BRAN"
"ARYA","JOFFREY",33,"BRAN"
"CATELYN","JOFFREY",6,"BRAN"
"CERSEI","JOFFREY",158,"BRAN"
"HOUND","JOFFREY",67,"BRAN"
"JAIME","JOFFREY",13,"BRAN"
"ARYA","JON",20,"BRAN"
"BRANDON_STARK","JON",2,"BRAN"
"CATELYN","JON",16,"BRAN"
"CERSEI","JON",3,"BRAN"
"HODOR","JON",2,"BRAN"
"JAIME","JON",12,"BRAN"
"JOFFREY","JON",2,"BRAN"
"CATELYN","MAESTER_LUWIN",26,"BRAN"
"HODOR","MAESTER_LUWIN",9,"BRAN"
"ARYA","NED",94,"BRAN"
"BRANDON_STARK","NED",3,"BRAN"
"CATELYN","NED",77,"BRAN"
"CERSEI","NED",92,"BRAN"
"HOUND","NED",14,"BRAN"
"JAIME","NED",60,"BRAN"
"JOFFREY","NED",47,"BRAN"
"JON","NED",36,"BRAN"
"MAESTER_LUWIN","NED",5,"BRAN"
"HODOR","OSHA",38,"BRAN"
"JON","OSHA",3,"BRAN"
"MAESTER_LUWIN","OSHA",26,"BRAN"
"CATELYN","RICKON",4,"BRAN"
"HODOR","RICKON",25,"BRAN"
"JON","RICKON",2,"BRAN"
"MAESTER_LUWIN","RICKON",4,"BRAN"
"OSHA","RICKON",34,"BRAN"
"ARYA","ROBB",15,"BRAN"
"CATELYN","ROBB",224,"BRAN"
"CERSEI","ROBB",12,"BRAN"
"HODOR","ROBB",3,"BRAN"
"HOUND","ROBB",4,"BRAN"
"JAIME","ROBB",44,"BRAN"
"JOFFREY","ROBB",27,"BRAN"
"JON","ROBB",25,"BRAN"
"MAESTER_LUWIN","ROBB",17,"BRAN"
"NED","ROBB",38,"BRAN"
"OLD_NAN","ROBB",4,"BRAN"
"OSHA","ROBB",10,"BRAN"
"RICKON","ROBB",5,"BRAN"
"ARYA","ROBERT",10,"BRAN"
"CATELYN","ROBERT",15,"BRAN"
"CERSEI","ROBERT",86,"BRAN"
"HOUND","ROBERT",6,"BRAN"
